name
abas
abdijus
abdonas
abdula
abelis
abis
abraomas
abromas
achilas
achmedas
adalbertas
adamas
adanas
adas
adauktas
adelaidas
adeodatas
adis
adolfas
adolfinas
adolis
adolius
adomas
adonis
adrianas
adrijonas
adrijus
adris
adrius
adžius
afanasijas
afanasijus
afonijus
agapitas
agatas
agatonas
agnas
agnetas
agnis
agnius
aidanas
aidas
aidijus
aidis
aidoras
aigardas
aigaudas
aigintas
aigirdas
aigiris
aigis
aigustas
aijus
aimanas
aimantas
aimas
aimedas
aimintas
aimis
aimius
ainaras
ainas
ainis
ainius
ainoras
airas
airijus
airimas
airis
airius
aisetas
aistas
aistijus
aistis
aistris
aistrius
aitaras
aitvaras
aitvydas
aivaldas
aivaras
aivardas
aivaris
aivas
aivis
aivydas
ajeras
akacijus
akmėjus
akmis
akrisijus
akvilas
akvilijus
akvilinas
akvilius
alanas
alantas
albertas
albinas
aldas
aldijus
aldis
aldonas
aldonis
aldžius
alechandras
aleksandras
aleksandrijus
aleksas
aleksejus
aleksijus
aleksis
aleksius
aleksys
alenas
alfas
alfijus
alfonsas
alfredas
algandas
algardas
algaudas
algedas
algėjus
algimantas
algimas
algimintas
alginas
algintas
algirdas
algirtas
algis
algividas
algys
algminas
algutis
algvidas
alicijus
alijus
alimantas
alis
alius
alivydas
alys
alyzas
alkantas
alkas
alkis
almanas
almantas
almas
almedas
alminas
almindas
almintas
almis
almonas
aloyzas
altautas
alvaidas
alvainas
alvaras
alvidas
alvilas
alvinas
alvirdas
alvis
alvitas
alvitis
alvydas
alvyras
alvys
amadas
amadėjus
amalijus
amandas
ambraziejus
amelijus
aminas
amiras
amosas
ananijus
anas
anastasas
anastasijus
anastasis
anastazas
anastazijus
anastazius
anatolijus
anatolis
anatolius
ancas
anchelas
ancis
ancius
andajus
andojas
andras
andrėjas
andrėjus
andriejus
andrijus
andris
andrius
andromedas
anelius
anfilofijus
angelas
angelius
anicas
anicetas
anicijus
anicis
anicius
anijus
anis
ansas
ansis
antanas
antaninas
antas
antėjus
antipijus
antonas
antonijus
antonis
anupras
anzelmas
anzelmis
apolinaras
apolinarijus
apolius
apolonas
apolonijus
aranas
aras
arbutas
archipas
aretas
aretis
arėjas
arėjus
argailas
argaudas
argimantas
argintas
arianas
arielis
arielius
arijas
arijus
arimanas
arimantas
arimas
aris
aristas
aristėjas
aristėjus
aristidas
aristidis
aristotelis
arius
arkadijus
armandas
armantas
armas
armedas
arminas
arminijus
armintas
armis
armondas
arnas
arnetas
arnis
arnius
arnoldas
arnulfas
aronas
arsenas
arsenijus
artas
artautas
artemijus
artemonas
artis
artūras
arūnas
arvaidas
arvaldas
arvidas
arvijus
arvilas
arvilis
arvinas
arvis
arvydas
arvystas
arvydijus
askanijas
askanijus
astas
asteras
asterijus
astijus
astis
astridas
astrius
ašmantas
atanas
atanazas
atas
atijus
atikas
atis
atlantas
audangas
aūdas
audenis
audijus
audingas
aūdis
audomaras
aūdras
audrijus
audrimantas
aūdris
aūdrius
audronijus
audronis
audronius
audrūnas
audrys
audvydas
audvydis
aūgantas
augas
augenis
augimantas
auginas
augintas
augirdas
aūgis
aūgius
augmantas
augminas
augurijus
augustas
augustinas
augustis
augūnas
augvidas
augvydas
augys
aujotas
auksas
auksis
auksius
auksys
auksuolis
aukštojas
auktumas
aumantas
aumas
auras
aurelijus
aurelius
aurėjus
aurimantas
aurimas
auris
aurius
aurys
auseklis
austas
austėjas
austėjus
austis
aušmantas
aušras
aušridas
aušrimas
aušrinis
aušris
aušrius
aušrys
auštaras
aušvidas
aušvilas
aušvydas
auvydas
avelijus
averkijus
avramijus
azarijus
azijus
ažuolas
ažuolis
abė
abigailė
abija
abrilė
achila
achmeda
ada
adalberta
adalija
adela
adelaida
adelaidė
adelė
adelija
adelina
adė
adilija
adolė
adolfa
adolfina
adona
adonė
adrė
adriana
adrija
afanasija
afija
afrodita
afroditė
aga
agafija
agalija
agapė
agapija
agapita
agata
agatė
agdalija
ageda
agė
agija
agilė
aglaja
agluona
agna
agneta
agnetė
agnė
agnieta
agnietė
agnija
agota
agotė
agra
agripina
aguona
aida
aidana
aidė
aidija
aidilė
aidora
aiga
aigilė
aiginta
aigustė
aija
aima
aimana
aimanta
aimantė
aimeda
aimė
aina
ainara
ainė
ainora
aira
airė
airija
airima
aiseta
aista
aistė
aistėja
aistida
aistija
aistra
aistrė
aistrėja
aita
aitara
aitra
aiva
aivalda
aivara
aivė
aividė
aivilė
aivina
akmė
akmėja
akmilė
aksija
akvila
akvilė
akvilija
akvilina
ala
alana
alanija
alanta
alantė
alba
alberta
albertina
albina
albinė
alda
aldė
aldija
aldona
aldonė
aldonija
alegra
aleksa
aleksandra
aleksandrija
aleksė
aleksija
alena
alesija
aleta
alė
alfa
alfija
alfonsa
alfonsė
alfreda
alga
alganda
algauda
algaudė
algeda
algenė
algė
algida
algidė
algidija
algima
algimanta
algimantė
algimina
algina
alginija
alginta
algintė
algira
algirda
algirdė
algita
algyda
algydė
algytė
algmina
algunda
algutė
algvida
algvina
alicija
alija
alimana
alina
aliodija
alisa
alisija
aliuzija
alivija
alma
almana
almanė
almanta
almantė
almeda
almė
almilė
almina
alminė
alminta
almintė
almyra
almona
almonė
almuonė
alna
alnora
alodija
aloyza
alondra
alsa
altaja
altėja
aluona
alva
alvė
alvida
alvidija
alvilė
alvina
alvinė
alvita
alvitė
alvyda
alvydė
alvyra
alvyrė
ama
amadėja
amaja
amalė
amalija
amanda
amarilė
ambrozija
amelė
amelija
amija
amilė
amilija
amina
aminta
amira
amita
amna
ana
anabela
anabelė
analija
anastasija
anastazė
anastazija
anatolija
ancė
anchela
anda
andė
andoja
andra
andreta
andrė
andrėja
andrieja
andrija
andromeda
andronija
andžerija
anela
anelė
aneta
anetė
anė
anfija
angela
angelė
aniceta
anicija
anija
anika
anikė
anisija
anita
anta
antalija
antana
antanė
antanina
antarė
antėja
antilija
antonija
anzelma
apfija
apolė
apolinara
apolinarija
apolonė
apolonija
aprelija
ara
arabela
areta
aretė
arėja
argina
arginija
arginta
argintė
argira
ariadna
ariadnė
ariana
arianė
ariela
arielė
arija
arimana
arimanta
arimantė
arimeda
arina
arineta
arista
aristėja
aristida
arkadija
arma
armanda
armandita
armanta
armantė
armeda
armena
armenija
armida
armilė
